Source,Target,Weight,freqT1,freqT2,times,timesT1,timesT2
1401,1406,1,0,1,7,NULL,7
908,1507,2,0,1,13,NULL,7
1177,2069,1,0,0,6,NULL,NULL
858,2294,3,0,0,18,NULL,NULL
613,1143,1,0,1,7,NULL,6
1813,25,1,0,0,7,NULL,NULL
257,874,3,3,0,75,44,NULL
862,6,1,1,0,6,6,NULL
1976,2265,2,2,0,19,19,NULL
1844,1731,1,0,0,7,NULL,NULL
560,269,2,1,1,62,17,25
1451,2056,1,0,1,6,NULL,6
1296,641,1,0,1,17,NULL,13
839,946,1,0,0,7,NULL,NULL
337,1142,2,0,0,12,NULL,NULL
241,1845,1,0,0,6,NULL,NULL
1600,830,1,0,0,7,NULL,NULL
2142,1160,1,0,0,6,NULL,NULL
1325,862,2,0,2,22,NULL,14
2035,138,1,0,0,6,NULL,NULL
2103,2049,1,0,1,12,NULL,9
826,1580,1,0,0,7,NULL,NULL
1163,1494,3,0,2,32,NULL,15
2121,545,1,0,0,6,NULL,NULL
370,2095,1,0,0,6,NULL,NULL
2119,1722,1,0,0,6,NULL,NULL
251,712,1,0,0,6,NULL,NULL
880,1290,1,0,0,6,NULL,NULL
1394,1824,1,0,1,12,NULL,10
2273,256,1,0,0,6,NULL,NULL
396,2032,2,0,0,12,NULL,NULL
86,2288,1,0,1,7,NULL,6
2056,338,1,1,0,31,24,NULL
2294,2268,1,0,1,6,NULL,6
327,2275,1,0,0,6,NULL,NULL
429,1173,1,0,0,6,NULL,NULL
712,1162,1,1,0,7,7,NULL
481,417,1,0,0,6,NULL,NULL
1140,2056,1,1,0,17,11,NULL
668,319,2,1,0,16,8,NULL
1794,2146,1,0,0,8,NULL,NULL
2292,2002,1,0,0,7,NULL,NULL
629,2021,1,0,0,6,NULL,NULL
300,2128,3,0,0,22,NULL,NULL
624,658,4,1,2,34,6,13
1461,1736,2,0,0,15,NULL,NULL
519,1522,7,0,0,69,NULL,NULL
2023,590,1,0,0,7,NULL,NULL
1556,585,1,0,0,6,NULL,NULL
249,661,1,0,0,6,NULL,NULL
612,718,1,0,0,6,NULL,NULL
2068,1460,1,0,1,6,NULL,6
1899,2304,1,0,0,9,NULL,NULL
1576,1159,1,0,0,7,NULL,NULL
2014,1750,1,0,0,6,NULL,NULL
2031,2031,26,17,18,911,415,399
631,867,3,0,2,19,NULL,12
1448,1165,2,0,0,13,NULL,NULL
1414,1576,1,0,1,7,NULL,7
653,2299,3,1,0,21,6,NULL
1246,635,6,4,3,171,92,52
1787,340,2,1,0,13,7,NULL
921,37,1,0,0,6,NULL,NULL
611,293,1,0,0,6,NULL,NULL
1422,1022,1,0,0,8,NULL,NULL
984,431,1,0,0,7,NULL,NULL
1589,725,1,0,0,6,NULL,NULL
